ID,Gain,Loss
4994933,,"163 Ohio

St.3d 242"
52459,,"2007 U.S.
App. LEXIS 20582"
5160500,,59 N.Y.U.L.Rev. 633
5160500,§,
5160500,,1 Alaska L.Rev. 319
5160500,,Kan.Stat. Ann. § 59-2103
5310868,,15 N. Y. St. Repr. 681
5600901,,Helminski
5600901,,766 F2d 208
5605989,,114 Penn. St. 335
5766806,,111 N. Y. S. 2d 500
4013931,,"118 F.

Supp. 3d 142"
4013931,,"130 F.

Supp. 3d 236"
4536776,,"84 Fed.

Reg. 54,244"
4536776,,"562 F.

Supp. 2d 1383"
4536776,,"422 F. Supp.

3d at 1275"
4536776,,"83 Fed.

Reg. 3,541"
6026339,,937 F2d 752
6144534,,"2 Sandf. Ch., 614"
6207147,,745 F2d 123
6237635,,"1 W. N. C., 67"
6181165,,59 N. Y. S. 2d 544
2014564,,62 S. Dak. 256
2014564,,43 Am.Jur. 733
4044496,,"2009 Tex.
App. LEXIS 4957"
6322259,,"Neb.
Rev. Stat. § 28-324"
3568574,,99 N.J. Law 183
2303811,,Ind.Code § 27-7-5-2
2303811,,Ind.Code §§ 9-25-4-1
3542084,,5 A. L. R. 216
1771039,,33 Tex.L.Rev. 680
1771039,,57 Tex.Civ. App. 242
1771039,,33 Tex.L.Rev. 24
755368,,3 USPQ2d 1333
755368,,19 USPQ2d 1111
755368,,19 USPQ2d at 1117
755368,,40 USPQ2d 1157
755368,,39 USPQ2d 1895
755368,,25 USPQ2d at 1606
755368,,41 USPQ2d 1961
755368,,25 USPQ2d 1601
755368,,34 USPQ2d 1699
755368,,15 USPQ2d 1321
1756048,,Nev.Rev.Stat. § 179.135
1744543,,Kan.Stat.Ann. §§ 21-3427
1744543,,Ky.Rev.Stat.Ann. §§ 508.010
1744543,,Kan. Stat.Ann. §§ 21-3414
1744543,,Tenn.Code Ann. § 39-2-501
1744543,,"Okla.Stat.Ann. tit. 21, § 645"
1744543,,Ky.Rev.Stat.Ann. §§ 515.020
1744543,,Tenn.Code Ann. § 39-2-101
1744543,,Tenn.Code Ann. § 39-6-1710
1744543,,"Okla.Stat.Ann. tit. 21, § 801"
1744543,,"Okla.Stat. Ann. tit. 21, § 1287"
2257892,,22 Santa Clara L.Rev. 667
270119,,87 U.S. App.D.C. 360
270119,,109 U.S.App. D.C. 315
1853016,,Minn.Stat. § 169.123
1897124,,341 F.Supp 991
1171138,,39 Am.Jur. 300
1171138,,39 Am.Jur. 356
1537257,,35 U. Balt. L.Rev. 347
1929026,,56 Fed.Reg. 7826
1929026,,156 Fed.Reg. 7826
1929026,,49 Fed.Reg. 34049
1752841,,Minn.Stat. § 336.9-104
1752841,,1977 S.Ill. U.L.J. 120
1752841,,Minn.Stat. § 540.03
1752841,,Minn.Stat. § 336.9-201
1683393,,41 La.L.Rev. 220
2168025,,48 Cal. App.3d Supp. 9
1814863,,33 La.L.Rev. 228
1814863,,29 La.L.Rev. 405
1814863,,32 Tul.L.Rev. 555
1814863,,33 La.L.Rev. 497
1814863,,36 La.L.Rev. 973
1814863,,49 Tul.L.Rev. 1094
1814863,,41 Tul.L.Rev. 785
2042257,,65 N.D.L.Rev. 1
2042257,,58 N.D.L.Rev. 431
2357843,,D.C.Code § 43-906
2357843,§§,
2357843,,195 U.S. App.D.C. 130
2357843,,D.C.Code §§ 43-501
2357843,§,
2357843,,D.C.Code § 1-1509
2357843,,D.C.Code § 43-311
2357843,,D.C.Code § 43-905
2357843,,D.C.Code § 43-501
2357843,,D.C.Code § 43-103
2369683,,Ark.Code Ann. § 5-73-120
2369683,,Ark.Code Ann. § 25-15-207
1431414,,30 Stan.L.Rev. 1185
1431414,,55 Nw. U.L.Rev. 553
1431414,,25 UCLA L.Rev. 1095
1431414,,48 Cal. L.Rev. at p. 406
1431414,,50 Wash.L.Rev. 57
1431414,,55 Nw. U.L.Rev. at page 611
1431414,,17 UCLA L.Rev. 1180
1431414,,25 UCLA L.Rev. at page 1107
1431414,,55 Nw.U.L.Rev. 553
1431414,,4 Harv.L.Rev. 193
1431414,,22 UCLA L.Rev. 1103
1431414,,48 Cal.L.Rev. at p. 406
1431414,,55 Nw.U.L.Rev. at p. 601
1431414,,48 Cal.L.Rev. 383
1431414,,55 Nw.U.L.Rev. at p. 587
1431414,,55 Nw. U.L.Rev. at p. 600
1431414,,25 UCLA L.Rev. at p. 1097
1431414,,1977 Utah L.Rev. at p. 818
2829354,,"28 Sw. 
L.J. 608"
2827906,,"180 Ind.
 App. 253"
1308185,"Thompson, 452",
1308185,,452 FSupp. 165
2823265,,"323 Ill.

App. 3d 780"
2823265,,"168 Ill.

2d 83"
1964781,,62 N.C. L.Rev. 435
1964781,,62 Geo. Wash. L.Rev. 546
1964781,,65 U. Chi. L.Rev. 879
1964781,,50 Stan. L.Rev. 273
1964781,,73 Neb. L.Rev. 781
1964781,,1998 BYU L.Rev. 177
1964781,,60 N.Y.U. L.Rev. 761
271339,,53 Calif. L.Rev. 929
271339,,101 U.Pa.L.Rev. 1099
271339,,39 N.Y.U.L.Rev. 50
271339,,39 N.Y.U.L.Rev. 136
2647974,§,
2647974,,"Idaho
Code § 18-1506"
1610180,,"49 Fed.Reg. 7,137"
1610180,,"46 Fed.Reg. 39,869"
1610180,,"53 Fed.Reg. 24,115"
1610180,,"51 Fed.Reg. at 15,947"
1610180,,"52 Fed.Reg. 6,842"
1610180,,"53 Fed.Reg. 45,795"
1610180,,"54 Fed.Reg. 12,743"
1610180,,"54 Fed.Reg. at 8,777"
1610180,,"53 Fed.Reg. 24,114"
1610180,,"51 Fed.Reg. 11,788"
1610180,,"50 Fed.Reg. 1,915"
1610180,,"54 Fed.Reg. at 8,776"
1610180,,"52 Fed.Reg. 32,951"
1610180,,"54 Fed.Reg. 8,776"
1610180,,"47 Fed.Reg. at 5,753"
1610180,,"51 Fed.Reg. 15,943"
1610180,,"53 Fed.Reg. 24,116"
617922,,D.C.Code § 23-110
617922,,D.C.Code § 22-4131
2665962,,"118 F.

Supp. 2d 9"
2665962,,"408 F. Supp.

2d 28"
2665962,,"61 Fed.

Reg. 34,490"
405975,,24 Mercer L.Rev. 697
405975,,Ga.Code Ann. § 3-607
236950,,18 U.S. C.A. § 2113
1067480,,19 Willamette L.Rev. 489
429215,,73 Mich.L.Rev. 1465
2411681,,26 U.Mem.L.Rev. 205
2411681,,45 Vand.L.Rev. 1
2411681,,13 Mass. App.Ct. at 184
2267203,,109 Harv.L.Rev. at 1590
2267203,,109 Harv.L.Rev. 1579
2267203,,61 Brook.L.Rev. 703
7228206,,42 Pa. Cons.Stat. § 5571.1
7228206,,42 Pa. Cons.Stat. § 5524
3242282,,34 Sup. Ct. 612
3821042,,21 L. R. A. 810
3381789,,46 Sup. Ct. Rep. 141
4022619,,"192 Wn.

App. at 393"
4301285,,"2004 PA

Super 358"
4295146,,"282 Mich
App 464"
4295146,,"287 Mich
App at 428"
3212763,,"Minn.

Stat. § 518.17"
4393773,,"278 Neb.
 721"
4485840,,47 B. T. A. 843
4485840,,45 B. T. A. 691
1270074,,69 Fed.Reg. 46632
1270074,,70 Fed.Reg. 4344
1270074,,69 Fed.Reg. 46696
1270074,,71 Fed.Reg. 240
1270074,,70 Fed.Reg. 4319
2225955,,15 Vand.L.Rev. 671
2225955,,25 Rutgers L.Rev. 207
2225955,,49 St. John's L.Rev. 215
2225955,,41 U.Cin.L.Rev. 1
219355,,"428 F.

Supp. 2d at 221"
219355,,"428 F.

Supp. 2d at 242"
1352961,,7 Ariz.L.Rev. 59
1352961,,37 Iowa L.Rev. 517
1352961,,7 Ariz.L.Rev. at 60
1352961,,81 U.Pa.L.Rev. at 146
1352961,,81 U. Pa.L.Rev. 130
1334683,,546 F2d 583
1334683,,364 FSupp. 432
1334683,,490 F2d 830
1485354,,"67 Fed.Reg. 79,966"
1485354,,"66 Fed.Reg. 55,248"
1485354,,"66 Fed.Reg. 55,320"
603885,§,
603885,,Ark.Code Ann. § 4-9-106
1475006,,22 Pick. (Mass.) 231
562613,,744 F.Supp 380
2697190,,"123 Ohio

St.3d 347"
2697190,,"90 Ohio

St.3d 276"
2737168,,"212 Ill.
 2d 274"
6596585,,1 H. & M. 5
6596585,,6 Heisk. (Tenn.) 150
6596585,,13 Pa. St. 433
6633009,,25 C. C. P. A. 90
6688039,,4 S. D. 593
6688039,,3 S. D. 170
6688039,,56 N. H. 227
6688039,,2 S. D. 171
6688039,,24 S. D. 474
6688039,,5 Tex. App. 608
6801556,,2 B. T. A. 598
6809685,,4 B. T. A. 1244
6809685,,3 B. T. A. 1245
6812434,,Eric A. Pearson et
6812434,,16 B. T. A. 1405
6812434,,8 B. T. A. 276
6812434,,14 B. T. A. 1084
6812434,,9 B. T. A. 1133
6812434,,5 B. T. A. 1154
6812434,,14 B. T. A. 814
6870594,,58 App.D. C. 261
7114401,,55 L. R. A. 911
7114401,,24 R. I. 432
7114401,,32 L. R. A. 837
7114401,,39 L. R. A. 607
7114401,,22 L. R. A. 198
7114401,,71 N. H. 279
7114401,,60 L. R. A. 133
7103691,,7 N. E. Rep. 788
7103691,,63 Pa. St. 95
7103691,,29 N. J. Eq. 188
7110817,,27 N. J. Eq. 293
7148638,,23 Ky. L. R. 186
7148638,,25 Ky. L. R. 2324
7148638,,8 Ky. L. R. 36
7148638,,30 Ky. L. R. 509
7148638,,4 J. J. Mar. 38
7148638,,22 Ky. L. R. 643
7282082,,88 N. J. L. 295
7740423,,Ala.Code §§ 36-30-20
