ID,Gain,Loss
4627877,,Co. at 
4678352,, at 814
4678352,, at 323
4690516,, at 
4690516,," at
"
4719569,, at 
4746031,, at 438
4746031,, at 287
4746031,, at 437
4746031,, at 
4746031,, at 155
4859119,, at 
5123092,, at 
2046752,, at 
5165179,, at 
5165179,, at 471
5165179,, at 738
5165179,, at 472
5165179,, at 473
5167616,, at 552
5167616,, at 966
5167616,, at 
5167616,, at 965
5167616,, at 85
5167616,, at 550
5167616,, at 1357
5513802,, at 
1245958,, at 
685153,, at 
685153,, at 1211
685153,, at 1213
685153,, at 879
685153,, at 1360
4536776,, at 16
4536776,, at 1295
4536776,, at 1334
4536776,, at 25
4536776,, at 6
4536776,, at 11
4536776,, at 
4536776,, at 5
4536776,, at 9
4536776,, at 1271
4536776,, at 1265
4536776,, at 10
4536776,," at

6"
4536776,, at 12
4536776,, at 8
4536776,, at 1407
4536776,, at 17
4536776,," at

8"
4536776,, at 1388
4536776,, at 20
4536776,, at 4
4536776,, at 1
4536776,, at 1239
4536776,, at 2
4536776,,"

at 2"
4536776,, at 1275
4536776,, at 7
4536776,, at 1264
4536776,, at 54
4536776,, at 21
4536776,," at

11"
4536776,, at 1299
1996784,, at 119
1996784,, at 1227
1996784,, at 
6308108,, at 
1392468,, at 2
2141253,, at 
74020,,"

at "
74020,, at 
2060699,,Corp. at 564
2060699,,Frohlich at 301
2060699,,Beckler at 775
2060699,,Corp. at 565
4710296,, at 182
4044496,, at 563
4044496,,"
at 567"
4044496,, at 655
4044496,, at 
4044496,, at 662
4044496,, at 807
4044496,, at 77
4044496,, at 217
4044496,," at

"
2663630,,"

at 87"
2663630,, at 1
2663630,, at 
2387663,, at 1305
2387663,, at 714
2387663,, at 
2387663,, at 250
2387663,, at 1308
184616,, at 
184616,, at 343
184616,, at 391
184616,, at 218
755368,, at 
755368,, at 886
755368,, at 1117
755368,, at 1170
755368,, at 163
755368,, at 1606
2257892,, at 
1804094,, at 
1804094,, at 372
270119,, at 
1281555,, at 994
1281555,, at 
1281555,, at 760
1137818,, at 502
1137818,, at 
1537257,, at 
1537257,, at 859
1546016,, at 
2011679,, at 
2020059,, at 387
2020059,, at 
1595372,, at 668
1595372,, at 417
1595372,, at 
1814863,, at 498
2143980,, at 196
2143980,, at 
689987,, at 
2357843,, at 833
2357843,, at 
2357843,, at 351
2357843,, at 75
2357843,, at 77
2357843,, at 960
2357843,, at 46
2357843,, at 148
2357843,, at 350
2357843,, at 421
2829730,,Layne at 405
2829730,, at 405
2414924,, at 2170
2414924,, at 834
2414924,, at 1210
2414924,, at 887
2414924,,Boerne at 2170
2414924,,U.S. at 
2414924,, at 874
2414924,, at 678
2414924,,Brzonkala at 887
2414924,, at 
2414924,,Robinson at 1210
2414924,, at 1853
2414924,,Brzonkala at 37
2414924,,U.S. at 556
2414924,, at 37
2414924,,Brzonkala at 834
2414924,, at 1211
2414924,,Brzonkala at 3
2414924,,Robinson at 1211
2414924,,Brzonkala at 874
2414924,,U.S. at 13
2414924,, at 3
2414924,,U.S. at 612
2496102,, at 759
2496102,, at 586
2496102,, at 
2410732,, at 264
2410732,, at 
2410732,, at 17
2410732,, at 1463
2427861,, at 
2427861,, at 341
1431414,, at 
2829354,, at 858
2829354,, at 
2829354,," at 
381"
2829354,," 
at "
2829354,, at 653
2829354,, at 848
2829354,, at 176
2829354,, at 651
2829354,," at 
172"
2829354,, at 381
2829354,, at 646
