ID,Gain,Loss
4627877,§ 1046,
4627877,§ 6547,
4627877,§§ 6542,
4627877,,§
4627877,,§§
4639543,§ 3-315,
4639543,§ 3-316,
4639543,§§ 3-310(P),
4639543,,§
4639543,,§§
4606371,§ 1.71,
4606371,§ 71(b)(1)(D),
4606371,,§
4646271,§ 431,
4646271,§ 63,
4646271,,§
4665783,§ 10-3(a),
4665783,§ 18-1(b)(1),
4665783,§ 5(a)(1)(A),
4665783,§ 5(b)(1),
4665783,§ 5-1-12,
4665783,§ 5-2(c),
4665783,§ 6,
4665783,§ 8-4,
4665783,,§
4678352,§ 12.35,
4678352,§§ 28.03(b)(4)(A),
4678352,,§
4678352,,§§
4690516,§ 300,
4690516,§ 302,
4690516,,[§]
4709603,§ 144,
4709603,§ 24-1106(3),
4709603,§ 25-202,
4709603,§ 25-216,
4709603,§ 3.4(a),
4709603,§ 3.4(b),
4709603,§ 563,
4709603,§§ 1.1,
4709603,,§
4709603,,§§
4711039,§ 24,
4711039,,§
4718437,§ 402,
4718437,,§
4746031,§ 4.10(a),
4746031,§ 7,
4746031,,§
4776531,§ 11,
4776531,§§ 4,
4776531,,§
4776531,,§§
4799679,§ 1,
4799679,§ 2,
4799679,§ 775.082,
4799679,§ 775.082(1),
4799679,§ 775.082(3)(a),
4799679,§ 921.001(10),
4799679,§ 921.001(4)(a),
4799679,§§ 775.082(3)(b),
4799679,,§
4799679,,§§
406663,§ 1983,
406663,§ 2818,
406663,,§
52459,"§
922(g)",
52459,"§
922(g)(1)",
52459,§ 101(a)(43),
52459,§ 1101(a)(43),
52459,§ 1101(a)(43)(E)(ii),
52459,§ 1103(a)(43)(E)(ii),
52459,§ 1326(b),
52459,§ 46.04,
52459,§ 922,
52459,§ 922(g),
52459,§ 922(g)(1),
5042085,§ 564.440,
5042085,,§
5066102,§ 2,
5066102,§ 2014(d)(6),
5066102,§ 2014(d)(l),
5066102,,§
5082333,§ 9(3),
5082333,§§ 13,
5082333,,§
5082333,,§§
5112424,§ 217.827(1),
5112424,§ 217.827(l)(a),
5112424,§ 217.827(l)(a)(e),
5112424,§ 217.835.1,
5112424,,§
5123092,§ 175.23,
5123092,§ 175.24(A),
5123092,§ 175.24(A)(9),
5123092,§ 175.57,
5123092,§ 175.57(A),
5123092,§ 175.57(D),
5123092,§ 403,
5123092,§ 520,
5123092,§ 581,
5123092,§ 88,
5123092,,§
2046752,§ 13,
2046752,§ 17,
2046752,§ 224(b),
2046752,§ 319,
2046752,§ 7.514,
2046752,,§
5158689,§ 8.5,
5158689,§ 927,
5158689,§ 927(1)(a),
5158689,,§
5165179,§ 18-18-204,
5165179,§ 7,
5165179,§ 8.6(a),
5165179,,§
5167616,§ 3(10)(a),
5167616,§ 3(7)(a),
5167616,§ 952(b),
5167616,§§ 3.6,
5167616,§§ 990.1,
5167616,,§
5167616,,§§
5441809,§ 108,
5441809,,(§)
5547056,§ 1827,
5547056,,§
5562033,§§3033,
5562033,,"§§3033,"
5661007,§ 143(e),
5661007,,§
5636403,§ 78-911,
5636403,,§
5656104,§ 572,
5656104,,§
5681753,§ 138,
5681753,,§
1245958,§ 5,
1245958,§ 75-11-7(A),
1245958,§ 75-6-1,
1245958,,§
5698468,§ 51,
5698468,,§
5725102,§ 554,
5725102,,§
5739567,§ 95,
5739567,,§
5740066,§ 72,
5740066,,§
5766806,§ 40,
5766806,,§
5830587,§ 265.15,
5830587,,§
5859528,§ 123,
5859528,,§
6494892,§ 12,
6494892,§ 431,
6494892,§ 431-636,
6494892,§ 431:1-202,
6494892,§ 431:1-210(1),
6494892,§ 481,
6494892,§ 804-1,
6494892,§ 804-10,
6494892,§ 804-10.5,
6494892,§ 804-10.5(b)(2),
6494892,§ 804-11,
6494892,§ 804-11.5,
6494892,§ 804-11.5(a),
6494892,§ 804-5,
6494892,§ 804-51,
6494892,§ 804-61,
6494892,§ 804-62,
6494892,§ 804-9,
6494892,§ 80440.5(b)(2),
6494892,§ 9(3),
6494892,,§
5885654,§ 167,
5885654,,§
5887405,§ 301,
5887405,,§
5917711,§ 5102,
5917711,,§
5935198,§ 110.00,
5935198,§ 125.25,
5935198,§ 130.35,
5935198,§§ 110.00,
5935198,,§
5935198,,§§
1132256,§ 285,
1132256,,§
4469967,§ 3553(a),
4469967,,§
4536776,§ 158l(i)(2),
4536776,§§ 201,
4536776,,§
4536776,,§§
6026339,§ 7,
6026339,,(§
6026449,§§ 5-1103,
6026449,,§§
6046312,§ 1098,
6046312,,§
6052697,§§ 261,
6052697,,§§
6040243,§ 9.35,
6040243,,§
1996784,§ 544,
1996784,,§
6207147,§ 1,
6207147,,§
6176270,§ 1194,
6176270,,§
6181165,§ 330,
6181165,,§
6308108,§ 1547,
6308108,§ 1547(e),
6308108,§ 3731(a)(1),
6308108,,[§
6308108,,§
6185261,§ 339.5,
6185261,§ 391,
6185261,§ 5456,
6185261,,(§
6185261,,§
1310801,§ 13-5-30(2),
1310801,§ 13-5-30(4),
1310801,,§
1392468,§ 1.02,
1392468,§ 199,
1392468,,§
3073392,§ 154.002,
3073392,§ 154.021(a),
3073392,§§ 154.001,
3073392,,§
3073392,,§§
74020,§ 1988,
74020,,§
2014564,§ 150,
2014564,,(§
2060699,§ 28-32-18,
2060699,§ 28-32-19,
2060699,§ 28-32-19(4),
2060699,§ 28-32-21,
2060699,§ 65-05-08.1,
2060699,§ 65-05-08.1(6),
2060699,§ 65-05.1-01,
2060699,§ 65-05.1-01(4),
2060699,§ 65-05.1-01(5),
2060699,§ 65-05.1-01(5)(1993),
2060699,§ 8,
2060699,§§ 2,
2060699,§§ 27-05-06,
2060699,§§ 28-27-01,
2060699,§§ 65-05-08.1,
2060699,,§
2060699,,§§
2999939,§ 3553(a),
2999939,§ 3553(a)(2)(A),
2999939,§ 3553(a)(2)(C),
2999939,§ 3553(a)(2)(D),
2999939,§ 3553(a)(6),
2999939,§ 924(c),
2975709,§39-14-301,
2975709,,"§39-14-301,"
2975709,,§39-14-303.
4044496,§ 27.01(a),
4044496,§ 38.001(8),
4044496,,§
6322259,§ 12.2(b),
6322259,§ 28-1205(1)(a),
6322259,§ 28-303,
6322259,§ 28-303(2),
6322259,§§ 28-202,
6322259,,[§]
6322259,,§§
6334469,§ 552.028,
6334469,,§
4469885,§ 209,
4469885,§ 431,
4469885,,§
2303811,§ 27-7-5-2,
2303811,§ 316.062,
2303811,§§ 316.027,
2303811,,§
2303811,,§§
2277838,§ 1.04,
2277838,§ 23.13,
2277838,§ 42.21,
2277838,§ 42.25,
2277838,§ 42.26,
2277838,,§
2387663,§ 11,
2387663,§ 2000e-2(a)(1),
2387663,,§
1905777,§ 1.11,
1905777,§ 1510,
1905777,§ 3.230,
1905777,§ 4.120,
1905777,§ 44.22,
1905777,§ 470f,
1905777,,§
2080571,§ 241,
2080571,§ 268b,
2080571,§ 585,
2080571,,§
184616,§ 1071(b)(1),
184616,§ 1071(b)(3),
184616,§ 1488,
184616,§ 20:64,
184616,§ 21:20,
184616,§ 21:21,
184616,§ 21:22,
184616,§ 3.05(b)(ii),
184616,,§
2347045,§ 1,
2347045,§ 5690,
2347045,,§
1771039,§ 21.001(3),
1771039,§ 73,
1771039,,§
755368,§ 1.626,
755368,§ 1.78(a),
755368,§ 112,
755368,§ 120,
755368,,(§
755368,,§
1756048,§ 1232,
1756048,§ 28.1259(5),
3149869,§ 12021,
3149869,§ 12022.53,
3149869,§ 12034,
3149869,§ 170.3,
3149869,§ 186.22,
3149869,§ 187,
3149869,§ 356,
3149869,§§ 452,
3149869,,(§
3149869,,§
3149869,,§§
1744543,§ 13,
1744543,§ 18(a),
