ID,Gain,Loss
4690516,,47 Cal.App.5th at p. 1050
4690516,,211 Cal.App.4th at p. 766
4690516,,211 Cal.App.4th at p. 767
4690516,,"211 Cal.App.4th at
p. 766"
4690516,,225 Cal.App.4th at p. 1218
4690516,,225 Cal.App.4th at p. 1216
4690516,,228 Cal.App.4th at p. 728
5123092,,"Atwood , ¶ 44"
5123092,,"Atwood , ¶ 46"
2060699,,"Frohlich at 301, 303"
3542084,,Page 78
3149869,,59 Cal.4th at p. 1176
3149869,,"56 Cal.4th at
p. 447"
3149869,,"80 Cal.App.4th at
p. 1207"
3149869,,37 Cal.4th at p. 1237
3149869,,56 Cal.4th at p. 463
3149869,,51 Cal.4th at p. 861
1945053,,133 A.2d at page 720
2011679,,"258 Iowa, at page 911"
2123399,,28 Cal. App.3d at p. 417
2168025,"supra,",
2168025,,191 Cal. App.3d at p. 305
2414924,,Robinson at 1211-12
2414924,,Brzonkala at 887-8
2414924,Brzonkala at 887,
2414924,Robinson at 1211,
1431414,,441 F. Supp. at p. 1330
1431414,,309 U.S. at p. 404
1431414,,316 F. Supp. at page 1282
1431414,,444 F. Supp. at page 282
1431414,,316 F. Supp. at p. 884
1431414,,400 F. Supp. at p. 844
1431414,,340 N.Y.S.2d at page 146
1431414,,53 L.Ed.2d at p. 969
1431414,,51 Texas L.Rev. at p. 647
1431414,,579 F.2d at page 221
1431414,,138 Cal. App.2d at p. 86
1431414,,174 Cal. App.2d at p. 651
1431414,,134 S.W. at page 1079
1431414,,53 L.Ed.2d at p. 977
1431414,,400 F. Supp. at p. 846
1431414,,84 L.Ed. at p. 835
1431414,,316 F. Supp. at page 1283
1431414,,29 Hastings L.J. at p. 773
1431414,,447 F. Supp. at p. 729
1431414,,498 F.2d at p. 825
1431414,,106 F.2d at p. 51
1431414,,53 L.Ed.2d at p. 975
1431414,,28 Cal. App.3d at p. 273
1431414,,202 F.2d at page 868
1431414,,412 U.S. at p. 561
1431414,,367 F. Supp. at page 880
1431414,,134 S.W. at page 1078
1431414,,447 F. Supp. at p. 728
1431414,,84 L.Ed. at p. 833
1431414,,579 F.2d at page 222
1431414,,29 Hastings L.J. at p. 754
1431414,,444 F. Supp. at p. 284
1431414,,29 Hastings L.J. at page 754
1431414,,415 F.2d at page 1206
1431414,,316 F. Supp. at p. 1280
1431414,,433 U.S. at p. 573
1431414,,316 F. Supp. at p. 1282
1431414,,309 U.S. at p. 408
1431414,,37 L.Ed.2d at p. 177
1431414,,202 F.2d at p. 868
1431414,,124 F.2d at page 170
2791588,,45 Cal.4th at p. 299
263792,,80 S.Ct. at page 1346
263792,,363 U.S. at page 567
263792,,"80 S.Ct., at page 1346"
3991011,,"189 Wn., at page 285"
4363959,,"J-S73022-18



1925"
901384,,"Setliff I at ¶ 19, 886"
901384,Setliff I at ¶ 19,
2697190,,Benton at ¶8
2697190,,Benton at ¶10
2697190,,White at ¶13
1033859,,53 Cal.4th at p. 348
1033859,,171 Cal.App.4th at p. 585
1033859,,98 Cal.App.4th at p. 1102
1033859,,98 Cal.App.4th at p. 1103
1033859,,53 Cal.4th at p. 346
1033859,,"171 Cal.App.4th at
p. 585"
